Vessel #,Vessel,,,,
0190,MV TAYSON 2,MV TAYSON 2_[0190],,,0190
0191,MT ANIMO,MT ANIMO_[0191],,,0191
0192,MV HOSEI HIMALAYA,MV HOSEI HIMALAYA_[0192],,,0192
0193,MT SEAWAYS ROSE,MT SEAWAYS ROSE_[0193],,,0193
0194,MT WEI CHI,MT WEI CHI_[0194],,,0194
0195,MV XING RON HE,MV XING RON HE_[0195],,,0195
0196,MV JENNY LUCKY,MV JENNY LUCKY_[0196],,,0196
0197,MV OCEAN HARMONY,MV OCEAN HARMONY_[0197],,,0197
0198,MT MAGNOLIA EXPRESS,MT MAGNOLIA EXPRESS_[0198],,,0198
0199,MT AKANE,MT AKANE_[0199],,,0199
0200,ULTRA REGINA,ULTRA REGINA_[0200],,,0200
0201,DUC DAT 666,DUC DAT 666_[0201],,,0201
0202,MT VOLTA,MT VOLTA_[0202],,,0202
0203,MT CHALLENGE PRELUDE,MT CHALLENGE PRELUDE_[0203],,,0203
0204,MV SPAN ASIA 11,MV SPAN ASIA 11_[0204],,,0204
0205,MV JIA FOISON,MV JIA FOISON_[0205],,,0205
0206,MV LUCKY EILEEN,MV LUCKY EILEEN_[0206],,,0206
0207,MT NAVIGATE GUIDE,MT NAVIGATE GUIDE_[0207],,,0207
0208,MT CONSTANCE,MT CONSTANCE_[0208],,,0208
0209,MT QUIAN CHI,MT QUIAN CHI_[0209],,,0209
0210,DOÑA DANESSA ISOBEL,DOÑA DANESSA ISOBEL_[0210],,,0210
0211,MV THANH BA,MV THANH BA_[0211],,,0211
0212,MV XIN XIANG HE,MV XIN XIANG HE_[0212],,,0212
0213,CL EMILY BRONTE,CL EMILY BRONTE_[0213],,,0213
0214,SPAN ASIA 27,SPAN ASIA 27_[0214],,,0214
0215,MV J BELA,MV J BELA_[0215],,,0215
0216,MV VW SAFETY,MV VW SAFETY_[0216],,,0216
0217,MT HAFNIA HENRIETTE,MT HAFNIA HENRIETTE_[0217],,,0217
0218,MV PAN CLOVER,MV PAN CLOVER_[0218],,,0218
0219,MT NEPTUNE STAR,MT NEPTUNE STAR_[0219],,,0219
0220,MT NORD MINAMI,MT NORD MINAMI_[0220],,,0220
0221,MT SOUTHERN TURKEY,MT SOUTHERN TURKEY_[0221],,,0221
0222,MTKR NORD VISION,MTKR NORD VISION_[0222],,,0222
0223,MT UNIQUE GUARDIAN,MT UNIQUE GUARDIAN_[0223],,,0223
0224,MTM DUBLIN,MTM DUBLIN_[0224],,,0224
0225,MV CMA CGM PUGET,MV CMA CGM PUGET_[0225],,,0225
0226,MV UNI WISDOM,MV UNI WISDOM_[0226],,,0226
0227,MV LUCKY WISDOM,MV LUCKY WISDOM_[0227],,,0227
0228,NTC FALCON,NTC FALCON_[0228],,,0228
0229,GENERAL NATIVIDAD,GENERAL NATIVIDAD_[0229],,,0229
0230,BW TIGER,BW TIGER_[0230],,,0230
0231,MV OCEAN PEACE 8,MV OCEAN PEACE 8_[0231],,,0231
0232,MV PEACE GARDEN,MV PEACE GARDEN_[0232],,,0232
0233,MV KUWANA,MV KUWANA_[0233],,,0233
0234,NTC HARIBON,NTC HARIBON_[0234],,,0234
0235,LPG VIS,LPG VIS_[0235],,,0235
0236,TM AMAZON,TM AMAZON_[0236],,,0236
0237,MT MAGLINGAP,MT MAGLINGAP_[0237],,,0237
0238,MV BROAD GLORY,MV BROAD GLORY_[0238],,,0238
0239,MT SOUTHERN BELUGA,MT SOUTHERN BELUGA_[0239],,,0239
0240,MT CORAL EXPRESS,MT CORAL EXPRESS_[0240],,,0240
0241,MV LILA TOCHIGI,MV LILA TOCHIGI_[0241],,,0241
0242,BLUE AKIHABARA,BLUE AKIHABARA_[0242],,,0242
0243,MV FU ZHI,MV FU ZHI_[0243],,,0243
0244,MV LORCON BACOLOD,MV LORCON BACOLOD_[0244],,,0244
0245,MV FUTURE OCEAN,MV FUTURE OCEAN_[0245],,,0245
0246,MV PETALON,MV PETALON_[0246],,,0246
0247,MV LORCON MANILA,MV LORCON MANILA_[0247],,,0247
0248,MV HOANG DUONG STAR,MV HOANG DUONG STAR_[0248],,,0248
0249,LCT 808,LCT 808_[0249],,,0249
0250,BW EGRET,BW EGRET_[0250],,,0250
0251,MT HELLAS APHRODITE,MT HELLAS APHRODITE_[0251],,,0251
0252,MV AN BINH 18,MV AN BINH 18_[0252],,,0252
0253,DOÑA DARIANA BRIELLE,DOÑA DARIANA BRIELLE_[0253],,,0253
0254,MT THERESA EMPAT,MT THERESA EMPAT_[0254],,,0254
0255,MV JIA DA,MV JIA DA_[0255],,,0255
0256,MT ISLAND EXPRESS,MT ISLAND EXPRESS_[0256],,,0256
0257,MV YANGZE 7,MV YANGZE 7_[0257],,,0257
0258,MV THAI BINH 38,MV THAI BINH 38_[0258],,,0258
0259,MT FAIRCHEM GRUTTO,MT FAIRCHEM GRUTTO_[0259],,,0259
0260,MV JIN WAN,MV JIN WAN_[0260],,,0260
0261,MT FALCON ROYAL,MT FALCON ROYAL_[0261],,,0261
0262,MT HAI HONG,MT HAI HONG_[0262],,,0262
0263,MT CHAMPION ENDURANCE,MT CHAMPION ENDURANCE_[0263],,,0263
0264,MT ESPADA,MT ESPADA_[0264],,,0264
0265,MT MALINGAP,MT MALINGAP_[0265],,,0265
