RECID,CRNUM,CRDATE,CUSTNO,AMOUNT,N2307,BANKACCTCO,CHECKNO,CHECKDATE,DATEDEPOSI,UNDOCUMENT,CREATEDBY,CREATEDDAT
70,C000016,2025-03-29,0027,120000.0,0.0,001,,2025-02-03,2025-02-03,True,2265,2025-03-29 13:14:03.999000
71,C000017,2025-03-29,0009,356211.0,0.0,001,,2025-01-30,2025-01-30,True,2265,2025-03-29 13:23:05.999000
72,C000018,2025-03-29,0038,180000.0,0.0,001,,2025-02-26,2025-02-26,True,2265,2025-03-29 13:25:03
73,C000019,2025-03-29,0026,240822.0,0.0,001,,2025-02-10,2025-02-10,True,2265,2025-03-29 13:26:19.999000
74,C000020,2025-03-29,0052,361233.0,0.0,001,,2025-02-03,2025-02-03,True,2265,2025-03-29 13:30:35
75,C000021,2025-03-29,0023,237474.0,0.0,001,,2025-01-31,2025-01-31,True,2265,2025-03-29 13:32:04
76,0413,2025-03-29,0047,1668660.71,30339.29,001,,2025-03-07,2025-03-07,False,2265,2025-03-29 13:49:54
77,C000022,2025-03-29,0001,2050000.0,0.0,001,,2025-03-10,2025-03-10,True,2265,2025-03-29 14:16:30.999000
78,C000023,2025-03-29,0043,3919437.14,0.0,001,,2025-02-28,2025-02-28,True,2265,2025-03-29 14:19:21.999000
79,C000024,2025-03-29,0027,120000.0,0.0,001,,2025-02-10,2025-02-10,True,2265,2025-03-29 14:33:20.999000
80,C000025,2025-03-29,0027,240000.0,0.0,001,,2025-02-20,2025-02-20,True,2265,2025-03-29 14:34:49.999000
81,C000026,2025-03-29,0027,120000.0,0.0,001,,2025-02-24,2025-02-24,True,2265,2025-03-29 14:35:45
82,C000027,2025-03-29,0027,120000.0,0.0,001,,2025-02-28,2025-02-28,True,2265,2025-03-29 14:36:43
83,C000028,2025-03-29,0009,237474.0,0.0,001,,2025-02-11,2025-02-11,True,2265,2025-03-29 14:37:56
84,C000029,2025-03-29,0009,118737.0,0.0,001,,2025-02-18,2025-02-18,True,2265,2025-03-29 14:39:13
85,C000030,2025-03-29,0052,360024.0,0.0,001,,2025-02-28,2025-02-28,True,2265,2025-03-29 14:42:38
86,C000031,2025-03-29,0023,84130.0,0.0,001,,2025-03-13,2025-03-13,True,2265,2025-03-29 14:43:49.999000
87,C000032,2025-03-29,0023,3649239.78,0.0,001,,2025-03-11,2025-03-11,True,2265,2025-03-29 14:45:45
88,C000033,2025-03-29,0023,3050000.0,0.0,001,,2025-03-21,2025-03-21,True,2265,2025-03-29 14:47:08.999000
89,C000034,2025-03-29,0060,45143.5,0.0,001,,2025-02-20,2025-02-20,True,2265,2025-03-29 14:49:06
90,C000035,2025-03-29,0028,239520.0,0.0,001,,2025-03-20,2025-03-20,True,2265,2025-03-29 15:16:31
91,C000036,2025-03-29,0043,239520.0,0.0,001,,2025-03-12,2025-03-12,True,2265,2025-03-29 15:19:44
92,C000037,2025-03-29,0043,4050000.0,0.0,001,,2025-03-20,2025-03-20,True,2265,2025-03-29 15:22:29
93,C000038,2025-03-29,0043,608050.0,0.0,001,,2025-03-27,2025-03-27,True,2265,2025-03-29 15:25:58.999000
94,C000039,2025-03-29,0027,240000.0,0.0,001,,2025-03-04,2025-03-04,True,2265,2025-03-29 15:27:48.999000
95,C000040,2025-03-29,0027,120000.0,0.0,001,,2025-03-11,2025-03-11,True,2265,2025-03-29 15:29:17
96,C000041,2025-03-29,0027,120000.0,0.0,001,,2025-03-15,2025-03-15,True,2265,2025-03-29 15:32:05
97,C000042,2025-03-29,0027,120000.0,0.0,001,,2025-03-25,2025-03-25,True,2265,2025-03-29 15:33:05
98,C000043,2025-03-29,0027,120000.0,0.0,001,,2025-03-26,2025-03-26,True,2265,2025-03-29 15:33:51
99,C000044,2025-03-29,0009,595390.0,0.0,001,,2025-03-27,2025-03-27,True,2265,2025-03-29 15:35:46.999000
100,C000045,2025-03-29,0052,794863.0,0.0,001,,2025-03-21,2025-03-21,True,2265,2025-03-29 15:37:15.999000
101,C000046,2025-03-29,0052,4285740.0,0.0,001,,2025-03-21,2025-03-21,True,2265,2025-03-29 15:38:54
102,C000047,2025-03-29,0052,357234.0,0.0,001,,2025-03-26,2025-03-26,True,2265,2025-03-29 15:39:51.999000
103,425,2025-04-16,0047,1637723.21,29776.79,001,,2025-03-21,2025-03-21,False,2265,2025-04-16 14:35:04.999000
104,424,2025-04-16,0062,239148.0,0.0,001,,2025-04-12,2025-04-12,False,2265,2025-04-16 14:38:49
105,426,2025-04-11,0051,662483.67,0.0,001,,2025-04-11,2025-04-11,False,2265,2025-04-16 14:43:36.999000
106,427,2025-03-12,0051,1525595.4,0.0,001,,2025-03-12,2025-03-12,False,2265,2025-04-16 14:52:50.999000
107,428,2025-03-12,0051,2171569.69,0.0,001,,2025-03-12,2025-03-12,False,2265,2025-04-16 14:57:30
108,419,2025-04-10,0007,290706.43,5285.57,001,1000227943,2025-04-10,2025-04-10,False,2265,2025-04-16 15:00:12
109,415,2025-04-10,0007,677285.71,12314.29,001,1000227946,2025-04-10,2025-04-10,False,2265,2025-04-16 15:02:26
110,416,2025-04-10,0007,287570.45,5228.55,001,1000227944,2025-04-10,2025-04-10,False,2265,2025-04-16 15:04:11
111,429,2025-04-11,0051,356400.0,0.0,001,,2025-04-11,2025-04-11,False,2265,2025-04-16 15:09:37
112,430,2025-04-11,0051,470375.31,0.0,001,,2025-04-11,2025-04-11,False,2265,2025-04-16 15:17:34.999000
113,423,2025-04-11,0006,1702897.3,0.0,001,113155,2025-04-11,2025-04-11,False,2265,2025-04-16 15:19:41.999000
114,422,2025-04-11,0006,359280.0,0.0,001,,2025-04-11,2025-04-11,False,2265,2025-04-16 15:20:41.999000
115,420,2025-04-10,0007,137500.0,2500.0,001,100022794,2025-04-10,2025-04-10,False,2265,2025-04-16 15:23:14.999000
116,417,2025-04-10,0007,290554.2,5282.8,001,1000227942,2025-04-10,2025-04-10,False,2265,2025-04-16 15:24:33
117,418,2025-04-10,0007,561294.64,10205.36,001,1000227945,2025-04-10,2025-04-10,False,2265,2025-04-16 15:25:57.999000
118,414,2025-04-10,0007,249218.75,4531.25,001,1000227947,2025-04-10,2025-04-10,False,2265,2025-04-16 15:27:09
119,C000048,2025-04-07,0009,238652.0,0.0,001,,2025-04-07,2025-04-07,True,2265,2025-04-16 15:28:55
120,C000049,2025-04-11,0001,939080.61,0.0,001,,2025-04-11,2025-04-11,True,2265,2025-04-16 15:33:02.999000
121,C000050,2025-04-15,0043,360210.0,0.0,001,,2025-04-15,2025-04-15,True,2265,2025-04-16 15:34:36.999000
122,C000051,2025-04-15,0043,1714260.0,0.0,001,,2025-04-15,2025-04-15,True,2265,2025-04-16 15:35:18
123,C000052,2025-04-15,0043,360210.0,0.0,001,,2025-04-15,2025-04-15,True,2265,2025-04-16 15:36:20
124,C000053,2025-04-04,0027,120000.0,0.0,001,,2025-04-04,2025-04-04,True,2265,2025-04-16 15:53:22
125,C000054,2025-04-04,0027,120000.0,0.0,001,,2025-04-04,2025-04-04,True,2265,2025-04-16 15:54:15
126,C000055,2025-04-04,0027,120000.0,0.0,001,,2025-04-04,2025-04-04,True,2265,2025-04-16 15:55:08.999000
127,C000056,2025-04-14,0027,120000.0,0.0,001,,2025-04-14,2025-04-14,True,2265,2025-04-16 15:56:07.999000
128,C000057,2025-04-14,0027,120000.0,0.0,001,,2025-04-14,2025-04-14,True,2265,2025-04-16 15:57:22.999000
129,C000058,2025-04-15,0027,120000.0,0.0,001,,2025-04-15,2025-04-15,True,2265,2025-04-16 16:00:36.999000
130,C000059,2025-04-15,0027,120000.0,0.0,001,,2025-04-15,2025-04-15,True,2265,2025-04-16 16:01:26
131,C000060,2025-04-08,0009,360210.0,0.0,001,,2025-04-08,2025-04-08,True,2265,2025-04-16 16:02:28.999000
132,0538,2025-10-17,0057,238700.0,4340.0,001,654808,2025-10-17,2025-10-17,False,9028,2025-10-21 11:14:07
133,0537,2025-10-17,0057,238700.0,4340.0,001,654820,2025-10-17,2025-10-17,False,9028,2025-10-21 11:19:00.999000
